Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,142.04%,71.74%,—
,ebitda margin growth,12.6%,23.4%,35.11%,51.87%
,net income growth,13.32%,163.1%,60%,679%
,revenue growth,23.56%,155.45%,72%,133%
,roce,13.85%,-25.85%,-66.86%,19.6%
,roe,13.32%,19.13%,31.2%,32.87%
