Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1539,1230,1434,1422,1298,1192,1504,1542,1671,1454,1604,1637
Expenses,1375,1117,1090,1255,1249,1068,1138,1408,1550,1252,1319,1523
Operating Profit,165,113,345,166,49,124,365,134,120,202,285,114
OPM %,11,9,24,12,3.8,10,24,9,7,14,18,7
Other Income,116,60,12,15,73,16,20,16,18,17,22,21
Interest,17,8,25,36,20,7,30,34,14,4,26,32
Depreciation,41,42,43,43,43,44,43,44,44,44,45,44
Profit before tax,223,123,289,102,59,89,312,73,80,171,236,59
Tax %,25,26,30,31,-14,21,26,29,33,34,32,25
Net Profit,166,91,203,70,67,70,229,52,54,113,160,44
EPS in Rs,8.24,4.53,10.08,3.48,3.33,3.49,11.35,2.55,2.67,5.62,7.9,2.09
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,4343,4286,4741,4812,4846,4666,5594,5415,6271,6366,,
Expenses,3888,3595,4059,4098,4139,4144,4808,4705,5530,5645,,
Operating Profit,454,691,682,714,707,522,786,711,741,721,,
OPM %,10,16,14,15,15,11,14,13,12,11,,
Other Income,38,47,52,47,36,65,206,118,73,78,,
Interest,52,41,64,39,31,49,84,93,77,76,,
Depreciation,95,96,101,112,114,130,166,173,177,178,,
Profit before tax,345,602,568,609,599,408,742,562,560,546,,
Tax %,33,4,9,21,22,30,28,22,32,—,,
Net Profit,232,576,519,480,465,284,534,437,378,371,,
EPS in Rs,10.14,25.21,23.61,22.85,22.77,14.09,26.49,21.64,18.74,18.28,,
Dividend Payout %,25,10,11,11,11,18,11,14,19,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,24,23,23,22,21,20,20,20,20,20,,
Reserves,1537,1594,2095,2394,2598,2749,2875,3381,3775,4118,,
Borrowings,1782,990,1734,1482,1240,1211,1880,2009,2627,3170,,
Other Liabilities,685,1093,851,910,774,512,653,678,707,1098,,
Total Liabilities,4027,3700,4703,4808,4634,4492,5429,6088,7129,8406,,
Fixed Assets,1412,1446,1422,1624,1599,1634,2599,2639,2645,2604,,
CWIP,6,11,46,12,14,204,24,46,106,1747,,
Investments,74,122,166,244,249,173,263,339,431,468,,
Other Assets,2535,2121,3070,2927,2772,2482,2543,3064,3947,3587,,
Total Assets,4027,3700,4703,4808,4634,4492,5429,6088,7129,8406,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,346,1180,-523,850,649,695,453,178,425,599,,
Cash from Investing Activity,-117,-159,-159,-305,-81,-309,-859,-225,-880,-947,,
Cash from Financing Activity,-233,-1020,682,-546,-569,-385,406,47,455,347,,
Net Cash Flow,-4,0,0,-1,-1,0,0,0,0,0,,
Free Cash Flow,223,1048,-649,608,551,298,-391,-43,-455,-346,,
CFO/OP,54,286,-57,139,98,115,100,35,70,97,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,17,15,38,18,19,10,10,8,10,10,,
Inventory Days,391,189,277,239,251,232,248,268,295,248,,
Days Payable,49,82,72,70,63,29,34,26,26,40,,
Cash Conversion Cycle,359,123,243,188,207,213,224,250,279,219,,
Working Capital Days,35,16,68,70,80,67,42,60,50,22,,
ROCE %,26,13,20,16,17,16,10,13,10,9,,
