Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2763,3049,3046,3222,3601,3992,4410,4961,5561,6148,6383,6812
Expenses,3387,3575,3536,3766,4155,4718,5374,5916,6360,6931,7081,7463
Operating Profit,-624,-526,-490,-544,-554,-726,-964,-955,-799,-783,-698,-651
OPM %,-23,-17,-16,-17,-15,-18,-22,-19,-14,-13,-11,-10
Other Income,87,78,73,75,82,107,121,87,59,86,266,211
Interest,15,18,20,20,23,26,32,41,48,55,56,53
Depreciation,105,108,117,122,131,154,206,288,304,313,312,298
Profit before tax,-657,-574,-555,-611,-626,-799,-1081,-1197,-1092,-1065,-800,-791
Tax %,0,0,0,0,0,0,0,0,0,0,0,0
Net Profit,-657,-574,-555,-611,-626,-799,-1081,-1197,-1092,-1065,-800,-791
EPS in Rs,—,—,—,—,-62.75,-3.57,-4.73,-4.8,-4.38,-3.86,-2.9,-2.87
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,---,---,---,,,,
Sales,3468,2547,5705,8265,11247,15227,23053,24904,,,,
Expenses,7292,3843,9355,12538,13447,18015,26288,27835,,,,
Operating Profit,-3824,-1296,-3650,-4273,-2199,-2788,-3235,-2931,,,,
OPM %,-110,-51,-64,-52,-20,-18,-14,-12,,,,
Other Income,218,-19,239,438,341,384,498,622,,,,
Interest,85,75,48,58,71,101,200,212,,,,
Depreciation,217,221,170,286,421,612,1217,1227,,,,
Profit before tax,-3908,-1612,-3629,-4179,-2350,-3117,-4154,-3748,,,,
Tax %,0,0,0,0,0,0,0,—,,,,
Net Profit,-3920,-1617,-3629,-4179,-2350,-3117,-4154,-3748,,,,
EPS in Rs,—,—,—,—,—,-13.63,-15.05,-14.01,,,,
Dividend Payout %,0,0,0,0,0,0,0,—,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Equity Capital,0.88,0.01,0.86,3,3,229,261,,,,,
Reserves,2966,1736,-3296,-6509,-7785,9991,18053,,,,,
Borrowings,89,93,16071,16162,16437,1702,2551,,,,,
Other Liabilities,1346,1086,1637,1624,1874,3283,4372,,,,,
Total Liabilities,4402,2915,14412,11281,10529,15205,25237,,,,,
Fixed Assets,1332,747,801,1505,2041,3631,4558,,,,,
CWIP,9,0,0,0,0,0,0,,,,,
Investments,1879,925,10348,6541,5171,2677,6034,,,,,
Other Assets,1182,1243,3263,3235,3317,8897,14645,,,,,
Total Assets,4402,2915,14412,11281,10529,15205,25237,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Cash from Operating Activity,-3841,-1175,-3900,-4060,-1313,-2169,-2898,,,,,
Cash from Investing Activity,3195,1282,-9160,3968,1472,-1372,-4983,,,,,
Cash from Financing Activity,849,14,13634,-172,-123,3903,9397,,,,,
Net Cash Flow,202,120,574,-264,37,362,1516,,,,,
Free Cash Flow,-4175,-915,-4128,-4217,-1657,-2912,-3809,,,,,
CFO/OP,99,91,105,94,60,79,89,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Debtor Days,13,24,71,47,31,59,64,,,,,
Inventory Days,31,10,4,1,4,3,3,,,,,
Days Payable,311,223,154,94,70,111,83,,,,,
Cash Conversion Cycle,-268,-189,-79,-46,-35,-48,-16,,,,,
Working Capital Days,-22,-41,18,18,0,21,66,,,,,
ROCE %,—,-57,-48,-37,-24,-29,-24,,,,,
