Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,52.9%,50.25%,105.12%
,ebitda margin growth,49.23%,-13.78%,-17.17%,-0.97%
,net income growth,59.8%,9.35%,11%,9%
,revenue growth,19.16%,25.15%,12%,11%
,roce,55.66%,5.66%,-3.44%,40.25%
,roe,59.8%,3.78%,38.41%,9.44%
