Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,139.27%,87.71%,—
,ebitda margin growth,-19.81%,3.23%,-117.18%,-86.7%
,net income growth,-27.79%,-86.92%,23%,-132.41%
,revenue growth,18.22%,28.31%,74%,75.43%
,roce,2.71%,-92.12%,45.21%,8.05%
,roe,27.68%,-116.23%,82.82%,-109.34%
