Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-0.19%,12.95%,28.4%
,ebitda margin growth,24.79%,-9.65%,-15.51%,-18.37%
,net income growth,211.11%,-291.62%,-161.54%,13%
,revenue growth,12.47%,8.03%,11%,25%
,roce,207.94%,-39.66%,-55.82%,6.5%
,roe,-211.09%,-291.67%,0.93%,-150.33%
