Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,18.1%,12.77%,29.62%
,ebitda margin growth,7.45%,-0.73%,4.4%,-46.86%
,net income growth,12.58%,16.6%,9%,5%
,revenue growth,4.41%,21.88%,14%,24%
,roce,7.86%,9.47%,29.76%,17.35%
,roe,12.58%,6.45%,8.87%,-70.94%
