Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,76.02%,76.02%,74.55%,54.22%,54.11%,54.09%,40.12%,40.09%
FIIs,4.55%,6.58%,7.03%,12.85%,15.39%,15.52%,22.01%,20.43%
DIIs,6.4%,9.9%,12.22%,27.31%,25.42%,25.47%,32.73%,34.8%
Government,0%,0%,0%,0%,0%,0%,0%,0%
Public,10.96%,5.51%,4.53%,3.98%,4.14%,3.99%,4.14%,3.95%
Others,2.07%,1.99%,1.67%,1.64%,0.94%,0.93%,0.99%,0.72%
No. of Shareholders,1947420,12,739867,662906,674200,652352,641309,625567
