Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,3008,3191,3339,3496,3531,3536,3476,3441,3507,3667,3720,3840
Expenses,2089,2016,2002,2013,2251,2851,2487,2290,2255,2434,2463,2290
Financing Profit,-614,-470,-402,-313,-636,-1266,-924,-809,-704,-777,-792,-636
Financing Margin %,-20,-15,-12,-9,-18,-36,-27,-24,-20,-21,-21,-17
Other Income,704,778,875,805,927,1073,1000,1069,933,1050,1069,959
Interest,1533,1646,1739,1796,1916,1951,1913,1960,1957,2010,2049,2186
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,91,307,473,493,292,-192,76,261,229,273,277,324
Tax %,-224,24,25,25,24,-117,10,23,22,22,17,22
Net Profit,294,233,353,372,223,33,69,200,179,214,230,254
EPS in Rs,4.89,3.87,5.83,6.13,3.66,0.54,1.13,3.29,2.91,3.47,3.72,1.64
Gross NPA %,3.12,3.12,2.65,2.69,2.88,2.92,2.6,2.78,2.32,1.88,1.45,1.3
Net NPA %,0.78,0.8,0.74,0.74,0.79,0.53,0.29,0.45,0.57,0.55,0.39,0.37
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,4508,6301,8514,8329,8176,9677,12394,14039,14336,14735,,
Expenses,1781,2561,4649,4824,6318,6111,7619,9382,9208,9442,,
Financing Profit,-15,-21,-1019,-1037,-2292,-1113,-1576,-2919,-2848,-2909,,
Financing Margin %,0,0,-12,-12,-28,-12,-13,-21,-20,-20,,
Other Income,1068,1442,1910,1884,2341,2489,3043,3806,4121,4011,,
Interest,2741,3761,4885,4541,4149,4678,6351,7576,7976,8201,,
Depreciation,87,122,138,158,164,196,215,219,234,0,,
Profit before tax,967,1299,753,689,-115,1180,1252,668,1040,1102,,
Tax %,34,33,33,26,-35,25,7,-4,21,—,,
Net Profit,635,867,506,508,-75,883,1168,695,822,876,,
EPS in Rs,15.13,20.32,9.94,8.49,-1.25,14.72,19.3,11.44,13.31,11.74,,
Dividend Payout %,14,13,15,0,0,10,8,9,8,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,375,420,427,509,598,600,600,605,608,618,,
Reserves,3960,6264,7121,10074,12065,12019,12977,14191,14999,15987,,
Borrowing,7980,9261,11832,17007,11226,11093,13331,14184,13734,16794,,
Deposits,34588,43902,58394,57812,73121,79007,84887,103494,110944,139018,,
Other Liabilities,1771,2003,2585,3576,3641,3491,4082,5958,6441,8268,,
Total Liabilities,48675,61851,80359,88978,100651,106209,115876,138432,146725,180685,,
Fixed Assets,224,303,363,408,442,467,529,525,570,545,,
CWIP,35,31,40,62,24,82,45,7,7,21,,
Investments,13482,15448,16840,18150,23230,22274,28875,29576,32165,32078,,
Other Assets,34934,46069,63116,70358,76954,83386,86427,108324,113984,148041,,
Total Assets,48675,61851,80359,88978,100651,106209,115876,138432,146725,180685,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,3434,-2528,-31,-5084,7597,6449,-11044,4935,-846,7577,,
Cash from Investing Activity,-142,-162,-190,-206,-157,-246,-223,-172,-258,-189,,
Cash from Financing Activity,-1656,2995,2567,7698,-4207,-114,2239,842,-503,3159,,
Net Cash Flow,1635,305,2345,2408,3233,6090,-9028,5605,-1608,10547,,
Free Cash Flow,3291,-2690,-221,-5290,7440,6203,-11267,4763,-1109,7354,,
CFO/OP,147,-79,15,-123,226,356,-303,107,-14,151,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,12,12,12,6,4,-1,7,8,5,5,,
