Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-25.07%,441.55%,296.96%
,ebitda margin growth,60.93%,-4.2%,-14.73%,36.07%
,net income growth,84.49%,18.95%,16%,44%
,revenue growth,0.14%,22.95%,17%,29%
,roce,60.14%,-4.92%,-15.85%,32.96%
,roe,84.44%,-0.71%,19.21%,20.98%
