Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,163.76%,-32.43%,-28.03%
,ebitda margin growth,-8.46%,-16.17%,-16.15%,-35.95%
,net income growth,-2.52%,13.39%,17%,4%
,revenue growth,-39.34%,31.61%,22%,16%
,roce,-7.23%,-4.64%,-3.73%,37.48%
,roe,-2.51%,-1.14%,21.82%,-58.44%
