Item,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,46.16%,46.16%,46.16%,46.16%
FIIs,15.1%,15.58%,14.63%,15.45%
DIIs,12.45%,16.26%,18.81%,18.63%
Government,0%,0%,0%,0%
Public,15.15%,14.05%,13%,12.51%
Others,11.13%,7.95%,7.4%,7.24%
No. of Shareholders,231564,209529,201873,197926
