Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-40.42%,-8.12%,-4.41%
,ebitda margin growth,-9.25%,-9.97%,-5.38%,-26.04%
,net income growth,-26.6%,-43.15%,-10%,-2%
,revenue growth,-2.95%,45.73%,21%,16%
,roce,-12.78%,-47.31%,-35.04%,5.58%
,roe,-26.6%,-44.77%,4.83%,-47.02%
