Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,383.13%,78.53%,8.27%
,ebitda margin growth,-60.74%,13.18%,3.04%,1.69%
,net income growth,-61.96%,32.3%,32%,34%
,revenue growth,-32.83%,13.11%,22%,20%
,roce,-62.26%,12.3%,19.31%,24.65%
,roe,-61.95%,11.75%,22.78%,64.3%
