Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,51.43%,50.37%,50.35%,50.33%,50.24%,49.93%,49.92%,49.9%,49.88%,49.72%,49.25%,49.22%
FIIs,21.51%,24.73%,26%,26.62%,27.17%,27.43%,28.23%,27.96%,26.85%,26.55%,24.87%,24.45%
DIIs,20.04%,18.38%,17.04%,16.86%,16.58%,16.1%,15.49%,16.06%,17.27%,17.55%,19.91%,20.62%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,5.43%,5.11%,5.18%,4.91%,4.76%,5.2%,4.93%,4.8%,4.54%,4.48%,4.59%,4.38%
Others,1.6%,1.41%,1.43%,1.28%,1.25%,1.35%,1.42%,1.27%,1.46%,1.69%,1.37%,1.32%
No. of Shareholders,146815,140636,155055,143097,146889,176231,178471,183933,165068,170050,160428,151219
