Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,13.59%,45.62%,120.56%
,ebitda margin growth,-2.34%,1%,-5.82%,6.9%
,net income growth,-5.61%,34.06%,10%,60%
,revenue growth,9.86%,18.82%,22%,27%
,roce,-4.5%,8.36%,-4.22%,12.06%
,roe,-5.63%,17%,12.49%,39.36%
