Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-7.46%,-28.9%,21.56%
,ebitda margin growth,-6.98%,-2.06%,-1.82%,-2.61%
,net income growth,-10.49%,-0.18%,14%,13%
,revenue growth,3.91%,1.69%,2%,7%
,roce,-7.14%,-5.26%,1.93%,21.9%
,roe,-10.49%,1.07%,21.08%,20.11%
