Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-113.89%,53.9%,-243.84%
,ebitda margin growth,-97.94%,138.24%,-107.7%,-90.56%
,net income growth,-107.41%,-236.26%,16%,144.64%
,revenue growth,-60.59%,-41.01%,16%,-2%
,roce,-100.47%,-103.24%,-109.46%,-0.78%
,roe,-107.4%,-58.5%,-20.09%,—
