Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,—,119.24%,23.74%
,ebitda margin growth,120.03%,-231.58%,-146.39%,-143.25%
,net income growth,103%,386.29%,-822.25%,-846.35%
,revenue growth,23.62%,-5.96%,-2%,-4%
,roce,-119.73%,-65.45%,-65.02%,9.71%
,roe,-103%,-234.63%,1.46%,-211.14%
