Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,284.74%,-60.41%,-38.14%
,ebitda margin growth,3.58%,2.9%,6.36%,23.39%
,net income growth,-8.69%,44.37%,21%,17%
,revenue growth,13.45%,24.05%,20%,18%
,roce,2.78%,4.9%,-21.77%,27.2%
,roe,-8.69%,26.27%,24.57%,27.31%
