Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1228,1274,1695,1327,1554,1620,1884,1479,1833,2082,2754,2494
Expenses,1163,1206,1513,1279,1444,1453,1646,1324,1534,1737,2338,2130
Operating Profit,65,68,182,48,110,167,238,155,299,345,416,364
OPM %,5,5,11,3.6,7,10,13,10,16,17,15,15
Other Income,0,2,4,0,0,52,38,51,83,32,57,58
Interest,11,14,11,11,16,12,6,4,3,3,3,3
Depreciation,22,23,23,22,23,23,23,25,26,27,27,28
Profit before tax,32,34,152,15,71,184,247,177,353,348,443,390
Tax %,24,32,25,31,26,25,25,26,25,25,25,24
Net Profit,25,23,114,10,52,137,184,132,264,261,330,294
EPS in Rs,5.84,5.42,26.82,2.46,12.34,32.41,41.26,29.52,59.31,58.65,74.14,65.99
Item,Dec 2019,Dec 2020,Dec 2021,Mar 2022 15m,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,3236,3420,3771,4884,4469,5237,6385,8148,9162,,,
Expenses,2899,3152,3526,4560,4218,4878,5780,6879,7738,,,
Operating Profit,337,269,244,323,250,359,605,1268,1424,,,
OPM %,10,8,6,7,6,7,9,16,16,,,
Other Income,-41,-18,74,101,15,9,57,185,229,,,
Interest,28,38,32,53,54,57,54,28,12,,,
Depreciation,48,77,81,95,80,90,91,104,108,,,
Profit before tax,221,136,206,277,131,222,516,1321,1534,,,
Tax %,25,27,26,26,28,26,26,25,—,,,
Net Profit,165,100,152,203,94,164,384,988,1150,,,
EPS in Rs,39.02,23.55,35.8,47.99,22.16,38.64,86.15,221.63,258.09,,,
Dividend Payout %,0,8,0,6,15,10,7,4,—,,,
Item,Dec 2019,Dec 2020,Dec 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,8,8,—,8,8,8,9,9,,,,
Reserves,831,924,—,1124,1207,1351,4205,5167,,,,
Borrowings,348,39,—,190,334,214,88,86,,,,
Other Liabilities,2253,2532,—,2201,2369,3134,4311,6782,,,,
Total Liabilities,3441,3503,—,3524,3919,4707,8613,12044,,,,
Fixed Assets,579,656,—,653,713,695,717,845,,,,
CWIP,57,32,—,118,49,63,90,192,,,,
Investments,0,0,—,0,0,0,0,0,,,,
Other Assets,2804,2815,—,2753,3157,3950,7807,11006,,,,
Total Assets,3441,3503,—,3524,3919,4707,8613,12044,,,,
Item,Dec 2019,Dec 2020,Dec 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,-73,610,-127,-127,5,252,1494,1245,,,,
Cash from Investing Activity,-73,-89,-167,-167,-12,-89,-110,-271,,,,
Cash from Financing Activity,333,-390,61,61,84,-199,2295,-91,,,,
Net Cash Flow,188,131,-233,-233,77,-35,3679,883,,,,
Free Cash Flow,-146,519,-294,-294,-7,163,1366,735,,,,
CFO/OP,0,244,-14,-10,29,84,273,138,,,,
Item,Dec 2019,Dec 2020,Dec 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,201,168,—,106,125,106,90,86,,,,
Inventory Days,102,103,—,93,110,101,91,119,,,,
Days Payable,286,327,—,213,204,205,202,246,,,,
Cash Conversion Cycle,18,-57,—,-14,31,2,-20,-42,,,,
Working Capital Days,0,-10,—,19,21,29,-31,-46,,,,
ROCE %,—,19,—,26,13,18,19,29,,,,
