Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,32.16%,13.9%,25.94%
,ebitda margin growth,-79.8%,21.46%,19.57%,23.38%
,net income growth,-112.43%,-83.12%,7%,5%
,revenue growth,-68.35%,-11.22%,2%,2%
,roce,—,40.5%,7.77%,-5.19%
,roe,—,-83.44%,4.66%,-83.26%
