Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-161.82%,-133.73%,-132.39%
,ebitda margin growth,1.28%,0.75%,3.43%,-4.2%
,net income growth,5.58%,-16.62%,6%,22%
,revenue growth,-6.53%,-6.31%,10%,21%
,roce,0.51%,-25.95%,-25.98%,20.84%
,roe,5.6%,-22.04%,10.49%,7.64%
