Item,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,410,500,411,367,375,356,456,461,452
Expenses,308,340,253,232,229,221,275,274,290
Operating Profit,102,160,158,135,146,135,181,186,162
OPM %,25,32,38,37,39,38,40,40,36
Other Income,31,20,28,43,29,35,44,53,58
Interest,17,5,14,10,9,8,10,37,8
Depreciation,29,31,33,33,34,38,39,40,42
Profit before tax,86,145,139,134,132,124,177,162,170
Tax %,31,24,26,21,28,21,23,24,24
Net Profit,60,110,103,107,95,98,137,123,129
EPS in Rs,143.1,276.67,7.42,7.81,6.97,7.27,10.08,9.17,9.62
Item,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM
---,---,---,---,---,---,---,---,---,---
Sales,501,774,162,388,1067,1396,1688,1648,1725
Expenses,398,646,198,363,693,980,1134,999,1060
Operating Profit,103,128,-36,24,374,417,554,649,665
OPM %,21,16,-22,6,35,30,33,39,39
Other Income,5,15,20,20,84,133,122,161,190
Interest,10,2,5,5,48,52,46,64,63
Depreciation,22,21,22,17,83,111,126,150,158
Profit before tax,76,119,-43,22,327,387,504,595,633
Tax %,33,29,25,68,23,23,25,24,—
Net Profit,51,104,-60,13,251,298,380,452,486
EPS in Rs,103.51,268.84,-147.64,32.04,629.55,743.09,27.58,33.49,36.14
Dividend Payout %,0,0,0,0,0,50,31,31,—
Item,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,---,
Equity Capital,4,4,4,4,4,4,13,13,
Reserves,84,513,459,472,652,870,1040,1430,
Borrowings,60,21,26,38,383,416,333,245,
Other Liabilities,139,169,147,208,294,407,516,592,
Total Liabilities,286,706,636,722,1332,1696,1903,2280,
Fixed Assets,115,75,59,99,353,387,372,289,
CWIP,8,0,24,2,6,23,39,28,
Investments,0,370,304,309,464,594,868,1123,
Other Assets,163,261,249,313,510,693,624,839,
Total Assets,286,706,636,722,1332,1696,1903,2280,
Item,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,---,
Cash from Operating Activity,70,104,14,45,322,353,515,393,
Cash from Investing Activity,-55,-120,-11,-55,-197,-155,-215,-150,
Cash from Financing Activity,-1,13,-4,11,-104,-172,-343,-221,
Net Cash Flow,14,-3,-1,1,21,26,-43,22,
Free Cash Flow,22,78,-24,21,285,276,454,354,
CFO/OP,68,111,-40,275,103,116,111,82,
Item,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,---,
Debtor Days,34,31,58,44,39,27,23,58,
Inventory Days,21,13,70,32,18,15,11,18,
Days Payable,111,69,254,131,310,368,418,514,
Cash Conversion Cycle,-56,-25,-126,-55,-252,-325,-384,-438,
Working Capital Days,-22,-17,-157,-100,-60,-72,-61,-44,
ROCE %,—,—,-9,4,47,36,41,42,
