Item,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,72.33%,72.33%,72.33%,72.03%,72.02%
FIIs,4.38%,4.13%,3.03%,2.94%,3.71%
DIIs,4.78%,7.89%,8.09%,8.74%,11.49%
Government,0%,0%,0%,0%,0%
Public,8.35%,5.74%,6.68%,6.6%,7.02%
Others,10.16%,9.91%,9.87%,9.7%,5.77%
No. of Shareholders,866185,470517,460430,442053,442995
