Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,45.06%,111.03%,280.73%
,ebitda margin growth,-346.1%,56.77%,120.91%,7.05%
,net income growth,22.85%,5.61%,12%,7%
,revenue growth,-36.05%,3.05%,12%,7%
,roce,26.17%,-1.67%,3.51%,0.59%
,roe,22.85%,-3.93%,10.9%,26.71%
