Item,Dec 2025,Mar 2026,Jun 2026
Promoters,80.03%,80.03%,80.03%
FIIs,3.97%,2.45%,2.92%
DIIs,12.57%,12.28%,9.8%
Government,0%,0%,0%
Public,2.87%,3.87%,5.64%
Others,0.56%,1.37%,1.61%
No. of Shareholders,101005,93389,132931
