Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,78.08%,77.94%,77.92%,77.91%,77.88%,77.87%,77.87%,77.83%
FIIs,2.91%,3.05%,3.07%,2.86%,3.29%,3.59%,3.35%,4.88%
DIIs,3.96%,3.87%,3.44%,2.84%,4.37%,6.1%,6.1%,8.46%
Government,0%,0%,0%,0%,0%,0%,0%,0%
Public,5%,5.14%,5.51%,5.95%,6.24%,6.46%,6.46%,6.45%
Others,10.04%,10%,10.06%,10.44%,8.22%,5.98%,6.22%,2.38%
No. of Shareholders,152914,143449,139671,133549,126169,118863,122189,124991
