Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,21.02%,64.34%,55.39%
,ebitda margin growth,6.19%,4.13%,8.4%,14.88%
,net income growth,3.59%,20.07%,19%,21%
,revenue growth,2.45%,13.22%,14%,16%
,roce,5.43%,-5.91%,-8.04%,23.6%
,roe,3.59%,-4.59%,18.77%,-12.43%
