Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-30.32%,-23.21%,-14.4%
,ebitda margin growth,15.43%,10.49%,11.33%,-22.04%
,net income growth,12.44%,-6.04%,-2%,22%
,revenue growth,4.7%,8.74%,7%,16%
,roce,12.61%,-17.13%,-29.01%,17%
,roe,12.42%,-36.91%,12.21%,-55.37%
