Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,44.34%,-686.23%,-143.67%
,ebitda margin growth,-28.37%,15.19%,10.73%,21.53%
,net income growth,-51.96%,-18.67%,-12%,6%
,revenue growth,-38.31%,-14.63%,-4%,11%
,roce,-32.27%,-16.6%,-41.6%,10.7%
,roe,-51.93%,-23.14%,12.05%,-30.1%
