Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,6038,6549,6995,6670,7445,7819,6983,7027,7109,7080,7804,7549
Expenses,1701,2444,2565,1553,2781,2382,2415,2091,1651,2000,2757,1751
Financing Profit,1372,1003,1132,1688,1102,1854,885,1085,1642,1218,1102,1745
Financing Margin %,23,15,16,25,15,24,13,15,23,17,14,23
Other Income,1025,1031,961,857,1368,810,2107,1472,2155,1271,1714,1084
Interest,2966,3102,3298,3428,3562,3583,3683,3851,3816,3862,3944,4053
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,2397,2034,2093,2546,2470,2664,2991,2557,3797,2489,2816,2829
Tax %,42,27,21,32,25,28,31,21,15,21,29,25
Net Profit,1393,1515,1672,1739,1869,1954,2094,2024,3241,1959,2013,2131
EPS in Rs,1.29,1.4,1.55,1.61,1.73,1.81,1.94,1.88,3,1.82,1.87,1.98
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,23046,22102,20854,19956,18316,20592,26446,28917,29020,29542,,
Expenses,20698,24118,20146,10515,9975,10232,9233,11675,10328,8159,,
Financing Profit,-15028,-18178,-13133,-1967,-781,1229,4986,2985,3217,5707,,
Financing Margin %,-65,-82,-63,-10,-4,6,19,10,11,19,,
Other Income,7248,3535,4631,4848,4959,4617,3975,5209,6637,6224,,
Interest,17376,16162,13841,11408,9122,9130,12226,14257,15474,15676,,
Depreciation,377,370,394,397,417,499,543,538,617,0,,
Profit before tax,-8157,-15013,-8896,2484,3760,5346,8418,7656,9237,11931,,
Tax %,0,0,44,42,32,30,31,0,0,—,,
Net Profit,-8116,-14970,-12819,1532,2557,3728,5814,7656,9237,9343,,
EPS in Rs,-26.37,-19.37,-12.36,1.41,2.36,3.45,5.38,7.1,8.57,8.67,,
Dividend Payout %,0,0,0,0,0,29,28,30,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,2059,3084,7736,10381,10752,10752,10752,10752,10752,10752,,
Reserves,21204,18824,30610,24455,26876,31819,35567,40321,50868,57812,,
Borrowing,56364,63186,45288,36749,15908,14345,12638,17083,19932,28104,,
Deposits,268216,247777,227190,222214,230707,232850,255313,277366,309893,346776,,
Other Liabilities,14646,18039,10287,6901,14410,12773,17227,19138,21562,23942,,
Total Liabilities,362488,350909,321111,300699,298653,302540,331498,364659,413008,467386,,
Fixed Assets,6893,6350,7842,7719,7402,9587,9303,9435,12120,9685,,
CWIP,541,502,468,488,471,400,477,108,80,90,,
Investments,93075,91848,93328,81996,81471,83475,100409,115719,118453,128440,,
Other Assets,261980,252208,219474,210496,209309,209078,221309,239398,282355,329171,,
Total Assets,362488,350909,321111,300699,298653,302540,331498,364659,413008,467386,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,8000,-12514,-34215,208,10214,5068,-2701,-1252,25796,16762,,
Cash from Investing Activity,-464,720,116,-296,-59,-192,-283,-217,-338,1441,,
Cash from Financing Activity,1889,12843,21622,9279,-5342,-4383,-3569,-1768,-6990,-5765,,
Net Cash Flow,9424,1049,-12477,9191,4813,492,-6554,-3237,18467,12438,,
Free Cash Flow,7536,-11794,-34099,-87,10155,4873,-2996,-1474,25452,16454,,
CFO/OP,83,-533,1697,29,108,61,-26,-5,140,88,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,-20,-38,-50,-35,4,6,8,12,14,14,,
