Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,—,52.94%,17.51%
,ebitda margin growth,5.3%,5.82%,-1.6%,32.32%
,net income growth,-4.17%,22.58%,-2%,10%
,revenue growth,-0.61%,3.62%,14%,11%
,roce,6.48%,-10.99%,-9.71%,5%
,roe,-4.17%,14.85%,6.11%,-495.49%
