Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,49.91%,-18.91%,49.17%
,ebitda margin growth,1.91%,-0.8%,4.09%,10.16%
,net income growth,0.43%,2.97%,25%,15%
,revenue growth,-0.1%,2.64%,8%,8%
,roce,1.9%,-3.01%,-1.99%,8.9%
,roe,0.43%,-9.62%,14.54%,46.59%
