Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,3.18%,21.93%,15.8%
,ebitda margin growth,24.17%,3.86%,25.41%,-20.83%
,net income growth,22.45%,10.63%,-2%,35%
,revenue growth,10.51%,5.06%,-3%,45%
,roce,28.15%,-2.18%,15.82%,14.58%
,roe,22.42%,3.61%,8.05%,-54.62%
