Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-3.42%,-4.4%,113.21%
,ebitda margin growth,-5.08%,1.15%,-2.02%,-7.61%
,net income growth,-17.01%,13.28%,33%,7%
,revenue growth,3.62%,15.47%,12%,16%
,roce,-3.91%,0%,-6.92%,12.94%
,roe,-17%,-3.26%,14.39%,-12%
