Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,54169,52808,55994,57013,58203,58390,64890,64232,66058,66521,78133,84825
Expenses,48557,46943,49314,49510,50320,50807,56054,56326,57092,58530,68119,70893
Operating Profit,5612,5865,6680,7503,7883,7583,8836,7906,8966,7991,10014,13932
OPM %,10,11,12,13,14,13,14,12,14,12,13,16
Other Income,496,281,362,96,561,469,706,604,532,-2061,-3146,-1236
Interest,1034,944,888,859,869,817,874,754,803,881,1042,966
Depreciation,1843,1874,2018,1892,1932,1939,2118,2080,2155,2220,2375,2337
Profit before tax,3231,3328,4136,4848,5643,5296,6550,5676,6540,2829,3451,9393
Tax %,32,30,23,37,31,29,19,29,28,28,25,25
Net Profit,2196,2331,3174,3074,3909,3735,5284,4004,4741,2049,2597,7013
EPS in Rs,9.77,10.37,14.12,13.68,17.39,16.62,23.51,17.82,21.1,9.12,11.56,31.21
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,115183,130542,118144,132008,195059,223202,215962,238496,274944,295537,,
Expenses,101488,115031,103838,114449,166712,200536,192090,206691,240064,254634,,
Operating Profit,13695,15511,14306,17559,28347,22666,23872,31805,34880,40903,,
OPM %,12,12,12,13,15,10,11,13,13,14,,
Other Income,2879,1127,906,-987,1253,1307,1519,1832,-4074,-5911,,
Interest,3911,3778,4197,3738,3768,3646,3858,3419,3480,3692,,
Depreciation,4506,4777,5091,6628,6729,7086,7521,7881,8830,9087,,
Profit before tax,8157,8083,5924,6206,19103,13241,14012,22337,18496,22213,,
Tax %,25,32,36,44,28,24,28,28,28,—,,
Net Profit,6083,5495,3767,3483,13730,10097,10155,16002,13391,16400,,
EPS in Rs,27.1,24.48,16.77,15.5,61.1,44.93,45.19,71.2,59.59,72.99,,
Dividend Payout %,4,5,6,19,6,7,8,7,8,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,223,223,222,222,222,222,222,222,222,222,,
Reserves,45836,54629,57279,58095,66311,77969,94584,105924,123487,136361,,
Borrowings,63817,52074,52415,68399,67206,64486,60291,56356,65642,99165,,
Other Liabilities,36268,40088,42056,41902,55083,79178,68392,68221,74949,108933,,
Total Liabilities,146144,147014,151972,168618,188822,221855,223489,230723,264300,344681,,
Fixed Assets,84687,85088,85860,89195,100269,106874,110626,111810,116556,130251,,
CWIP,1814,2063,4097,7721,10202,4945,7700,14867,27397,49526,,
Investments,15157,10781,9012,9411,17133,14119,14116,15444,24158,24958,,
Other Assets,44486,49081,53003,62291,61218,95917,91047,88602,96189,139946,,
Total Assets,146144,147014,151972,168618,188822,221855,223489,230723,264300,344681,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,12687,10898,11977,12665,17232,16838,19208,24056,24410,10250,,
Cash from Investing Activity,-2876,5333,-5456,-7101,-25280,-6773,-7559,-14267,-24609,-25783,,
Cash from Financing Activity,-5552,-16412,-5466,6610,-4882,-6765,-10450,-10817,-1816,20087,,
Net Cash Flow,4259,-181,1055,12174,-12930,3300,1199,-1028,-2015,4554,,
Free Cash Flow,9818,7942,6009,5933,11715,11483,9571,8378,4006,-19508,,
CFO/OP,109,94,89,89,105,73,97,112,94,48,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,30,32,32,29,36,39,27,28,30,36,,
Inventory Days,120,115,103,120,146,138,111,111,121,156,,
Days Payable,115,108,96,98,135,128,93,94,100,127,,
Cash Conversion Cycle,36,38,39,51,47,49,45,45,51,65,,
Working Capital Days,-17,17,18,3,3,-3,13,9,23,2,,
ROCE %,8,10,11,9,9,17,11,11,15,13,,
