Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,335,341,366,387,424,445,429,447,461,478,458,463
Expenses,143,147,161,166,174,171,185,181,179,188,192,205
Operating Profit,192,194,205,220,250,274,244,266,283,290,266,258
OPM %,57,57,56,57,59,62,57,59,61,61,58,56
Other Income,56,80,74,95,96,38,72,118,45,82,-33,162
Interest,2,1,2,1,1,2,1,1,1,1,1,1
Depreciation,9,9,10,9,10,11,10,10,11,12,13,13
Profit before tax,237,264,268,305,335,300,305,372,316,358,219,406
Tax %,25,21,22,23,28,25,25,26,24,25,15,24
Net Profit,178,209,208,236,242,224,228,277,241,270,187,309
EPS in Rs,6.18,7.27,7.23,8.18,8.41,7.78,7.91,9.6,8.36,9.33,6.48,10.7
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1324,1407,1235,1202,1405,1349,1636,1982,2056,1861,,
Expenses,771,723,532,467,473,521,592,696,740,764,,
Operating Profit,552,684,703,735,932,828,1044,1287,1316,1096,,
OPM %,42,49,57,61,66,61,64,65,64,59,,
Other Income,0,0,0,4,3,5,5,4,1,256,,
Interest,5,6,6,6,5,4,6,6,5,5,,
Depreciation,26,32,37,37,36,34,35,40,46,48,,
Profit before tax,522,646,661,696,895,794,1008,1245,1266,1299,,
Tax %,33,31,25,24,25,25,23,25,23,—,,
Net Profit,349,447,494,526,673,596,780,931,975,1007,,
EPS in Rs,193.64,248.22,274.67,292.38,23.36,20.71,27.09,32.26,33.76,34.87,,
Dividend Payout %,57,67,67,27,49,50,50,74,76,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,18,18,18,18,18,144,144,144,144,144,,
Reserves,924,1120,1203,1299,1687,2052,2373,3025,3583,3897,,
Borrowings,0,70,72,62,59,54,48,79,68,64,,
Other Liabilities,258,342,206,193,221,184,223,254,320,310,,
Total Liabilities,1200,1549,1498,1572,1985,2435,2788,3502,4114,4415,,
Fixed Assets,18,90,95,86,77,72,70,111,107,116,,
CWIP,0,0,2,1,1,3,2,2,1,5,,
Investments,901,1141,1138,1263,1726,2121,2359,3122,3692,3946,,
Other Assets,281,318,263,221,180,239,357,267,315,348,,
Total Assets,1200,1549,1498,1572,1985,2435,2788,3502,4114,4415,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,0,346,315,497,512,563,437,685,708,812,,
Cash from Investing Activity,0,-69,62,-66,-340,-298,-134,-511,-305,-95,,
Cash from Financing Activity,0,-259,-384,-423,-162,-256,-335,-169,-399,-703,,
Net Cash Flow,0,18,-6,8,10,9,-32,5,5,15,,
Free Cash Flow,0,330,295,481,502,547,419,655,678,766,,
CFO/OP,0,89,79,95,90,86,75,83,78,86,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,20,12,7,12,9,7,7,9,11,10,,
Cash Conversion Cycle,20,12,7,12,9,7,7,9,11,10,,
Working Capital Days,-18,-10,7,-1,-25,-5,11,-2,-5,-9,,
ROCE %,—,49,52,50,45,45,33,35,36,32,,
