Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,22.22%,88.56%,152.96%
,ebitda margin growth,43.16%,0.2%,1.06%,3.67%
,net income growth,30.93%,18.85%,28%,18%
,revenue growth,32.88%,16.36%,25%,16%
,roce,44.35%,5.77%,24.28%,33.16%
,roe,30.93%,7.47%,30.37%,53.49%
