Item,Mar 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,83.48%,73.58%,73.28%,73.18%,73.12%,73.1%,73.09%,73.03%,73.01%,73%
FIIs,0%,5.1%,5.52%,6.47%,7.85%,8.28%,8.47%,8.26%,8.01%,8.23%
DIIs,0%,16.22%,15.58%,15.18%,15.27%,14.39%,14.13%,14.34%,14.63%,15.01%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,0%,1.86%,2.31%,2.1%,2.23%,2.54%,2.6%,2.67%,2.59%,2.45%
Others,16.52%,3.24%,3.31%,3.08%,1.53%,1.69%,1.71%,1.71%,1.77%,1.32%
No. of Shareholders,542,67000,63484,66301,71321,66167,65851,61261,59152,60707
