Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,2.95%,9.58%,-77.67%
,ebitda margin growth,8.72%,-1.9%,-3.44%,9.54%
,net income growth,9.5%,15.21%,19%,34%
,revenue growth,7.18%,19.09%,26%,25%
,roce,8.66%,-2.46%,-3.86%,10.71%
,roe,9.5%,-2.54%,17.44%,2.8%
