Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-36.78%,9.1%,-25.05%
,ebitda margin growth,67.22%,-8.35%,-5.08%,-5.96%
,net income growth,232.98%,-7.62%,-1%,8%
,revenue growth,35.37%,30.21%,2%,17%
,roce,90.14%,-15.85%,-11.35%,27.12%
,roe,232.83%,-21.08%,16.71%,-39.89%
