Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-200.45%,-163.92%,-139.42%
,ebitda margin growth,-7.21%,-28.49%,-33.88%,-25.94%
,net income growth,-12.22%,-31.86%,-13%,-2%
,revenue growth,-34.14%,1.26%,0%,6%
,roce,-7.61%,-25.71%,-36.57%,15%
,roe,-12.19%,-33.61%,13.34%,-49.46%
