Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,191,207,215,201,247,209,253,235,274,303,307,310
Expenses,142,141,147,148,172,150,157,151,185,192,191,205
Operating Profit,49,67,67,53,76,60,96,83,89,112,116,105
OPM %,25,32,31,26,31,28,38,36,33,37,38,34
Other Income,3,3,2,5,2,2,2,3,10,5,7,9
Interest,10,11,12,13,15,16,22,21,21,21,26,28
Depreciation,2,2,2,2,2,2,3,3,4,3,10,6
Profit before tax,40,56,55,43,61,43,74,63,74,92,87,80
Tax %,25,28,29,26,23,29,28,24,24,29,22,24
Net Profit,30,40,39,32,46,31,54,48,56,66,68,61
EPS in Rs,1.48,1.98,1.93,1.48,2.31,1.47,2.59,2.19,2.69,2.56,2.71,2.48
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,152,121,132,176,285,393,756,921,1119,1194,,
Expenses,113,85,93,134,194,286,531,626,719,773,,
Operating Profit,39,36,39,41,92,107,225,295,400,421,,
OPM %,26,29,29,23,32,27,30,32,36,35,,
Other Income,0,0,0,0,1,2,3,1,25,31,,
Interest,21,20,17,15,15,22,41,66,89,96,,
Depreciation,3,3,3,3,3,5,7,8,20,24,,
Profit before tax,16,12,18,23,74,82,181,221,316,333,,
Tax %,24,28,32,27,27,27,28,26,25,—,,
Net Profit,12,6,12,17,54,60,131,163,238,251,,
EPS in Rs,1.22,0.59,1.24,1.17,2.69,3.02,6.56,8.15,9.77,10.44,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,10,20,20,20,29,50,100,199,200,223,,
Reserves,70,146,154,193,234,360,378,432,828,1449,,
Borrowings,147,177,166,143,151,219,206,455,679,908,,
Other Liabilities,60,84,133,146,240,347,424,718,909,987,,
Total Liabilities,287,428,473,502,655,976,1107,1805,2615,3566,,
Fixed Assets,37,78,98,88,86,88,126,134,260,393,,
CWIP,1,4,0,0,0,0,5,7,5,10,,
Investments,26,47,22,20,7,11,11,23,59,178,,
Other Assets,222,299,352,395,562,877,965,1641,2292,2985,,
Total Assets,287,428,473,502,655,976,1107,1805,2615,3566,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-20,4,-36,26,-45,-52,138,-153,-294,-267,,
Cash from Investing Activity,-11,-22,54,13,15,-99,-48,-13,-161,-277,,
Cash from Financing Activity,21,39,-28,-15,23,146,-29,224,449,600,,
Net Cash Flow,-9,21,-11,24,-7,-5,62,58,-6,56,,
Free Cash Flow,-25,-1,-69,34,-46,-57,91,-186,-451,-343,,
CFO/OP,-55,21,-93,78,-98,-31,153,-46,-80,-46,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,313,281,201,251,158,104,107,91,109,142,,
Inventory Days,206,284,—,—,—,—,—,—,—,—,,
Days Payable,136,160,—,—,—,—,—,—,—,—,,
Cash Conversion Cycle,383,405,201,251,158,104,107,91,109,142,,
Working Capital Days,-52,-56,100,170,570,484,209,169,220,277,,
ROCE %,14,13,10,10,10,17,16,25,20,18,,
