Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,28.42%,28.42%,28.42%,28.42%,28.42%,55.49%,81.49%,81.49%,75.6%,75%,75%,75%
FIIs,13.42%,13.58%,13.27%,17.63%,16.17%,14.5%,4.94%,2.97%,3.11%,3.41%,3.48%,3.4%
DIIs,10.04%,8.94%,8.47%,5.85%,6.05%,6.68%,3.69%,5.77%,12.25%,12.8%,12.9%,12.6%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,37.3%,38.72%,39.33%,15.43%,14.88%,12.75%,8.14%,7.91%,7.37%,7.3%,7.16%,7.49%
Others,10.82%,10.34%,10.51%,32.67%,34.48%,10.58%,1.73%,1.87%,1.67%,1.49%,1.46%,1.51%
No. of Shareholders,185758,196426,206667,211262,206285,187327,175917,169844,163090,163480,156567,157402
