Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,5.72%,-7.41%,99.54%
,ebitda margin growth,23.25%,-8.59%,-2.89%,7.92%
,net income growth,31.23%,-5.29%,15%,14%
,revenue growth,1.14%,13.43%,19%,19%
,roce,35.12%,-19.02%,-43.49%,17.98%
,roe,31.1%,-16.83%,13.33%,-24.42%
