Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,214%,147.45%,-80.36%
,ebitda margin growth,11.3%,5.99%,7.84%,14.47%
,net income growth,77.13%,14.9%,39%,46%
,revenue growth,-1.33%,7.93%,12%,10%
,roce,4.11%,-0.19%,5.07%,4.66%
,roe,77.14%,8.62%,10.17%,195.66%
