Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,14.46%,—,-333.45%
,ebitda margin growth,0%,1.26%,5.69%,6.44%
,net income growth,0%,12.84%,256%,32%
,revenue growth,0%,12.4%,12%,6%
,roce,0%,-4.62%,-3.99%,9.22%
,roe,0%,3.2%,10.27%,152.13%
