Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,58.12%,35.12%,-18.28%
,ebitda margin growth,26.39%,25.2%,35.82%,32.21%
,net income growth,53.06%,60.37%,15%,14%
,revenue growth,17.9%,7.35%,0%,9%
,roce,43.87%,38.7%,60.85%,10.86%
,roe,53.07%,46.5%,11.34%,56.36%
