Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,7.2%,-27.14%,280.21%
,ebitda margin growth,37.88%,-11.47%,-9.34%,-4.08%
,net income growth,144.35%,-27.56%,-14%,13%
,revenue growth,6.19%,8.31%,7%,11%
,roce,45.05%,-27.9%,-39.39%,15.46%
,roe,144.31%,-36.66%,13.33%,-3.11%
