Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-22.49%,-13.69%,—
,ebitda margin growth,11.7%,2.67%,3.34%,—
,net income growth,6.34%,45.63%,44%,40%
,revenue growth,10.41%,28.12%,32%,27%
,roce,8.62%,5.6%,17.69%,—
,roe,6.41%,26.85%,9.34%,—
