Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,136.91%,218.13%,—
,ebitda margin growth,17.41%,-15.21%,17.85%,87.86%
,net income growth,7.87%,34.56%,50%,69%
,revenue growth,8.07%,31.86%,26%,44%
,roce,16.34%,13.4%,4.43%,21.59%
,roe,7.88%,18.33%,24.57%,144.33%
