Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,55.02%,205.02%,553.48%
,ebitda margin growth,100.66%,32.32%,27.76%,45.25%
,net income growth,140.87%,33.4%,41%,35%
,revenue growth,51.73%,27.53%,59%,50%
,roce,127.01%,-17.35%,35.77%,28.67%
,roe,140.91%,-14.1%,29.27%,59.96%
