Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,879,896,1115,880,1009,1030,1045,459,786,890,780,671
Expenses,759,773,970,743,870,887,898,400,683,778,701,606
Operating Profit,121,123,146,137,139,143,147,59,103,113,79,65
OPM %,14,14,13,16,14,14,14,13,13,13,10,10
Other Income,6,5,12,8,10,15,12,17,0,9,2,10
Interest,10,11,11,13,17,14,17,16,19,18,16,17
Depreciation,7,7,8,12,13,14,15,16,16,17,18,19
Profit before tax,110,110,139,120,119,130,127,44,68,87,46,39
Tax %,25,26,25,23,25,26,20,29,33,28,41,32
Net Profit,82,81,105,92,89,96,103,31,45,62,27,26
EPS in Rs,2.05,1.98,2.55,2.23,2.11,2.29,2.43,0.77,1.1,1.47,0.67,0.66
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,,
---,---,---,---,---,---,---,---,,,,,
Sales,996,1178,2068,3644,3963,2916,3127,,,,,
Expenses,889,1065,1819,3157,3398,2562,2768,,,,,
Operating Profit,106,114,249,487,566,354,359,,,,,
OPM %,11,10,12,13,14,12,11,,,,,
Other Income,2,3,5,25,44,28,21,,,,,
Interest,21,18,29,41,60,70,71,,,,,
Depreciation,21,23,25,28,54,67,70,,,,,
Profit before tax,66,76,200,442,496,245,240,,,,,
Tax %,19,34,40,25,23,32,—,,,,,
Net Profit,53,50,121,331,380,166,161,,,,,
EPS in Rs,5.97,5.55,3.12,8.04,9,4,3.9,,,,,
Dividend Payout %,0,0,16,7,14,25,—,,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,---,---,---,,,,,,
Equity Capital,387,387,387,412,424,427,,,,,,
Reserves,246,295,416,1204,2330,2551,,,,,,
Borrowings,138,139,288,349,502,996,,,,,,
Other Liabilities,220,250,543,975,743,738,,,,,,
Total Liabilities,991,1072,1634,2940,3999,4712,,,,,,
Fixed Assets,418,428,464,831,972,1119,,,,,,
CWIP,21,22,27,54,66,266,,,,,,
Investments,2,8,11,93,164,236,,,,,,
Other Assets,550,615,1131,1962,2797,3092,,,,,,
Total Assets,991,1072,1634,2940,3999,4712,,,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,---,---,---,,,,,,
Cash from Operating Activity,67,60,78,-19,104,9,,,,,,
Cash from Investing Activity,-60,-49,-122,-464,-628,-688,,,,,,
Cash from Financing Activity,22,-17,121,489,842,454,,,,,,
Net Cash Flow,30,-6,76,5,318,-224,,,,,,
Free Cash Flow,37,23,9,-143,-403,-524,,,,,,
CFO/OP,67,54,35,18,39,28,,,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,---,---,---,,,,,,
Debtor Days,26,22,38,49,75,95,,,,,,
Inventory Days,120,130,114,127,94,188,,,,,,
Days Payable,70,58,46,71,50,69,,,,,,
Cash Conversion Cycle,77,94,106,105,119,213,,,,,,
Working Capital Days,34,44,25,44,62,114,,,,,,
ROCE %,—,12,24,31,21,9,,,,,,
