Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-36.19%,-51.01%,29.11%
,ebitda margin growth,-21.89%,-3.61%,2.19%,28.66%
,net income growth,-22.72%,12.67%,9%,27%
,revenue growth,-25.11%,15.16%,13%,24%
,roce,-22.82%,0.3%,1.64%,15.34%
,roe,-22.72%,-1.27%,14.03%,39.2%
