Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-102.38%,-135.98%,-550.99%
,ebitda margin growth,20.28%,5.7%,17.11%,4.55%
,net income growth,24.96%,98.37%,67%,40%
,revenue growth,13.94%,45.87%,48%,45%
,roce,21.2%,1.81%,16.82%,9.02%
,roe,24.95%,18.53%,10.53%,23.52%
