Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,131.52%,-90.68%,-87.85%
,ebitda margin growth,47.16%,-33.22%,6.82%,-43%
,net income growth,87.65%,-55.65%,17%,-6%
,revenue growth,-3.51%,-7.97%,14%,14%
,roce,44.27%,-47.18%,7.3%,10.82%
,roe,87.57%,-54.7%,7.59%,-36.76%
