Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,875,986,1306,904,918,975,1016,953,1115,1121,1233,1075
Expenses,369,434,679,373,400,422,457,389,449,465,484,433
Operating Profit,506,552,627,531,518,553,560,564,667,656,750,642
OPM %,58,56,48,59,56,57,55,59,60,59,61,60
Other Income,32,34,37,38,37,46,42,32,31,22,57,40
Interest,96,104,100,103,103,103,94,95,92,102,97,94
Depreciation,66,66,76,77,78,81,90,93,91,86,89,96
Profit before tax,375,416,489,388,374,415,418,407,515,490,620,492
Tax %,19,17,20,19,22,15,17,21,26,25,22,20
Net Profit,305,345,392,315,292,353,348,321,384,366,485,394
EPS in Rs,7.07,7.82,9.14,6.5,6.1,7.41,7.52,6.73,8.5,7.71,11.28,8.3
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1614,1977,1936,1040,1460,2616,3972,3807,4418,4545,,
Expenses,830,975,963,539,725,1096,1790,1645,1780,1830,,
Operating Profit,784,1001,973,501,735,1519,2182,2162,2638,2714,,
OPM %,49,51,50,48,50,58,55,57,60,60,,
Other Income,50,125,60,86,74,721,126,163,140,150,,
Interest,349,351,348,348,295,341,396,403,387,386,,
Depreciation,198,204,208,209,186,228,270,327,360,362,,
Profit before tax,287,572,478,29,328,1671,1643,1595,2032,2117,,
Tax %,26,19,26,-16,24,12,19,18,23,—,,
Net Profit,256,497,388,48,268,1478,1333,1307,1557,1630,,
EPS in Rs,7.91,13.73,10.91,1.68,6.65,37.37,30.76,27.53,34.22,35.79,,
Dividend Payout %,16,11,0,31,18,7,8,9,7,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,31,31,31,31,36,36,36,36,72,72,,
Reserves,2119,2821,3443,3678,5003,6547,8344,9422,10377,10917,,
Borrowings,3626,3666,4244,4308,4063,3982,4259,4639,4687,5323,,
Other Liabilities,1233,1979,2398,2528,2288,3765,4787,5003,6292,6485,,
Total Liabilities,7008,8497,10116,10545,11389,14330,17426,19100,21427,22796,,
Fixed Assets,4500,5668,6522,6453,7207,7508,10964,13137,14466,14772,,
CWIP,328,503,896,1534,1274,2049,2295,1503,3143,3879,,
Investments,410,829,745,590,576,2317,1282,1725,1465,1490,,
Other Assets,1770,1498,1952,1968,2333,2456,2884,2734,2353,2656,,
Total Assets,7008,8497,10116,10545,11389,14330,17426,19100,21427,22796,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,1419,1514,350,739,432,781,1356,2161,2084,2426,,
Cash from Investing Activity,-354,-1825,-1394,-362,-950,-2841,-1528,-1859,-2162,-1646,,
Cash from Financing Activity,-1108,277,1053,-287,522,2228,132,-299,-47,-731,,
Net Cash Flow,-43,-33,9,90,3,167,-40,3,-126,50,,
Free Cash Flow,1234,13,-1110,-3,309,774,-468,488,-532,1029,,
CFO/OP,171,196,43,87,84,114,103,114,110,104,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,30,29,36,38,114,70,33,25,22,26,,
Inventory Days,—,—,—,—,—,—,—,854,—,—,,
Days Payable,—,—,—,—,—,—,—,224,—,—,,
Cash Conversion Cycle,30,29,36,38,114,70,33,654,22,26,,
Working Capital Days,40,-150,-77,-94,-212,-160,-111,-78,-112,-94,,
ROCE %,11,10,11,9,4,5,10,12,11,12,,
