Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,263.26%,209.32%,624.05%
,ebitda margin growth,15.24%,9.61%,33.64%,67.4%
,net income growth,19.84%,40.54%,24%,31%
,revenue growth,-8.15%,24.21%,-1%,17%
,roce,16.42%,22.79%,3.09%,13.86%
,roe,19.85%,-8.43%,13.81%,-25.93%
