Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-3.43%,20.22%,71.55%
,ebitda margin growth,2.56%,-4.44%,-0.89%,10.3%
,net income growth,11.66%,0.5%,5%,3%
,revenue growth,7.79%,7.9%,4%,7%
,roce,2.8%,-9.61%,459.79%,16.77%
,roe,11.68%,-4.67%,8.56%,-4.67%
