Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,57.18%,72.56%,62.36%
,ebitda margin growth,-9.81%,14.01%,31.46%,-19.24%
,net income growth,-8.71%,13.21%,4%,2%
,revenue growth,24.03%,8.93%,9%,10%
,roce,-11.55%,1.25%,0.83%,9.64%
,roe,-8.71%,8.11%,11.89%,-5.4%
