Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-38.9%,79.01%,4.01%
,ebitda margin growth,22.09%,-13.57%,-16.72%,-7.56%
,net income growth,35.15%,0.13%,16%,18%
,revenue growth,7.65%,24.81%,16%,19%
,roce,27.01%,-9.56%,4.41%,20.36%
,roe,35.22%,-8.94%,16.14%,3.86%
