Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,—,37.58%,267.51%
,ebitda margin growth,-2.12%,7.47%,7.18%,10.85%
,net income growth,-3.59%,31.88%,24%,27%
,revenue growth,-8.93%,21.4%,19%,23%
,roce,-2.3%,11.8%,-26.31%,22.35%
,roe,-3.58%,14.45%,14.76%,-21.75%
