Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,4.05%,74.91%,556.56%
,ebitda margin growth,-2.63%,5.16%,61.21%,54.32%
,net income growth,0.73%,20.86%,51%,43%
,revenue growth,-5.31%,3.95%,3%,34%
,roce,-1.17%,-4.36%,41.43%,14.7%
,roe,0.68%,3.55%,12.63%,89.36%
